team,offense,defense,overall
UMass,0.9,0.9,0.9
North Carolina,0.92,0.81,0.87
Charlotte,0.89,0.84,0.86
Ohio,0.84,0.86,0.85
Georgia State,0.75,0.94,0.84
Temple,0.77,0.9,0.83
Ball State,0.96,0.7,0.83
Vanderbilt,0.74,0.91,0.82
Texas Tech,0.8,0.83,0.82
California,0.84,0.79,0.82
Kent State,0.71,0.88,0.8
SMU,0.81,0.76,0.78
Colorado,0.75,0.8,0.77
Ohio State,0.82,0.72,0.77
Western Michigan,0.93,0.6,0.77
Toledo,0.73,0.8,0.76
Western Kentucky,0.74,0.79,0.76
Tennessee,0.76,0.76,0.76
Tulsa,0.94,0.57,0.76
Kentucky,0.79,0.72,0.76
Virginia Tech,0.78,0.72,0.75
New Mexico State,0.74,0.76,0.75
Northern Illinois,0.68,0.81,0.74
Cincinnati,0.83,0.64,0.74
Penn State,0.8,0.66,0.73
LSU,0.86,0.6,0.73
Wisconsin,0.7,0.76,0.73
Arkansas State,0.88,0.57,0.72
Pittsburgh,0.73,0.71,0.72
Troy,0.7,0.74,0.72
NC State,0.71,0.73,0.72
Oklahoma State,0.66,0.77,0.72
Notre Dame,0.56,0.85,0.71
Purdue,0.78,0.63,0.71
San José State,0.8,0.6,0.7
Southern Mississippi,0.83,0.58,0.7
Middle Tennessee,0.7,0.7,0.7
Baylor,0.54,0.85,0.7
Hawai'i,0.74,0.66,0.7
Florida International,0.66,0.72,0.69
USC,0.68,0.7,0.69
Arkansas,0.81,0.56,0.69
Bowling Green,0.94,0.43,0.69
Wake Forest,0.69,0.68,0.69
TCU,0.87,0.5,0.68
Nebraska,0.71,0.63,0.67
Iowa State,0.7,0.65,0.67
Boise State,0.58,0.76,0.67
Oklahoma,0.73,0.61,0.67
San Diego State,0.57,0.75,0.66
Central Michigan,0.63,0.68,0.66
Illinois,0.61,0.7,0.65
Tulane,0.74,0.55,0.65
Minnesota,0.57,0.71,0.64
Florida,0.53,0.75,0.64
Utah,0.66,0.61,0.64
Colorado State,0.52,0.75,0.63
Arizona,0.72,0.55,0.63
Connecticut,0.42,0.85,0.63
Mississippi State,0.67,0.6,0.63
Miami,0.61,0.65,0.63
Navy,0.67,0.58,0.62
Texas State,0.74,0.51,0.62
Northwestern,0.46,0.78,0.62
Memphis,0.79,0.45,0.62
UCLA,0.62,0.62,0.62
North Texas,0.69,0.54,0.62
Georgia Tech,0.48,0.75,0.61
Idaho,0.58,0.64,0.61
Akron,0.63,0.59,0.61
Ole Miss,0.62,0.58,0.6
Michigan State,0.71,0.49,0.6
Texas A&M,0.56,0.64,0.6
Michigan,0.66,0.53,0.6
Utah State,0.63,0.55,0.59
Army,0.46,0.72,0.59
Louisiana Tech,0.56,0.61,0.58
Indiana,0.6,0.56,0.58
Washington State,0.58,0.57,0.58
South Florida,0.36,0.79,0.58
Oregon,0.66,0.49,0.58
Eastern Michigan,0.52,0.62,0.57
Louisiana Monroe,0.37,0.76,0.57
Florida Atlantic,0.65,0.49,0.57
Arizona State,0.47,0.66,0.57
Houston,0.45,0.69,0.57
Duke,0.34,0.78,0.56
Buffalo,0.73,0.38,0.56
Georgia,0.55,0.55,0.55
West Virginia,0.34,0.77,0.55
New Mexico,0.62,0.48,0.55
Missouri,0.57,0.53,0.55
Miami (OH),0.37,0.7,0.54
Stanford,0.73,0.33,0.53
Air Force,0.61,0.45,0.53
East Carolina,0.41,0.64,0.53
BYU,0.51,0.54,0.53
UNLV,0.58,0.47,0.52
Syracuse,0.74,0.31,0.52
Clemson,0.64,0.4,0.52
Iowa,0.43,0.59,0.51
Texas,0.56,0.46,0.51
Rutgers,0.47,0.54,0.51
Rice,0.68,0.33,0.51
Louisville,0.5,0.5,0.5
Maryland,0.41,0.59,0.5
Virginia,0.52,0.46,0.49
Florida State,0.38,0.6,0.49
South Carolina,0.3,0.67,0.48
Nevada,0.38,0.54,0.46
Marshall,0.35,0.56,0.46
Auburn,0.34,0.57,0.46
Old Dominion,0.49,0.43,0.46
Alabama,0.26,0.64,0.45
Washington,0.43,0.44,0.44
South Alabama,0.51,0.36,0.44
Oregon State,0.53,0.33,0.43
Kansas State,0.25,0.6,0.43
Fresno State,0.31,0.52,0.42
UT San Antonio,0.35,0.48,0.41
Boston College,0.31,0.49,0.4
Louisiana,0.4,0.38,0.39
UCF,0.51,0.26,0.39
Wyoming,0.3,0.46,0.38
UTEP,0.24,0.5,0.37
Kansas,0.20,0.38,0.29
